GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders,Application,8,0,0,0,3,0,2,0,2,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,MediaItemEndpoint,129,42,6,4,32,11,8,3,4,2
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,TicketEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,SectionAllocationEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,MediaService,22,0,0,0,3,0,3,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,ShowService,68,0,4,0,13,0,5,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,ShowEndpoint,107,64,6,4,29,14,7,4,3,3
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,EventCategoryEndpoint,32,139,4,6,10,33,4,7,0,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,TicketPriceEndpoint,129,42,6,4,32,11,8,3,4,2
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,TicketRequest,28,0,0,0,12,0,6,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,JaxRsActivator,0,3,0,0,0,1,0,1,0,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,ShowMetric,75,0,2,0,18,0,8,0,7,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,PingService,54,0,4,0,10,0,4,0,2,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,BotStatusService,45,0,8,0,12,0,8,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,TicketCategoryEndpoint,107,64,6,4,29,14,7,4,3,3
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,RestServiceException,34,0,0,0,16,0,8,0,8,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,VenueEndpoint,59,112,5,5,17,26,5,6,1,5
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,EventEndpoint,59,112,5,5,17,26,5,6,1,5
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,EventService,16,18,1,1,2,5,1,2,0,2
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,SectionComparator,13,0,0,0,3,0,3,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,BotState,34,0,0,0,2,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,BaseEntityService,78,107,2,2,15,21,5,5,3,5
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,PerformanceEndpoint,50,237,6,8,14,55,6,9,0,8
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,SectionEndpoint,32,139,4,6,10,33,4,7,0,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,MetricsService,82,0,4,0,20,0,7,0,5,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,BookingEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,PerformanceMetric,22,0,2,0,6,0,4,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,VenueService,0,4,0,0,0,2,0,1,0,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,ReaderExceptionMapper,20,3,0,0,6,1,1,1,1,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,BookingRequest,87,0,4,0,25,0,12,0,10,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest,BookingService,642,0,44,0,136,0,33,0,11,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.service,AllocatedSeats,21,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.service,Bot,270,69,14,0,66,5,15,1,8,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.service,BotService,137,0,10,0,35,0,12,0,7,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.service,MediaManager,291,0,34,0,70,0,28,0,11,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.service,SeatAllocationService,88,0,4,0,23,0,6,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.service,MediaPath,21,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.servlet,FF4jConsoleServlet,0,3,0,0,0,1,0,1,0,1
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.config,TeiidDataSources,16,0,0,0,5,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.orders,OrdersRequestDTO,62,0,0,0,21,0,10,0,10,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,MediaItemDTO,36,26,3,1,14,9,7,4,5,4
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedEventDTO,26,60,3,3,10,21,5,7,2,7
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedShowDTO,10,53,2,4,4,19,2,7,0,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,VenueDTO,144,228,17,17,42,70,15,21,3,16
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,SectionDTO,4,124,2,4,2,41,3,17,1,16
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,SectionAllocationDTO,71,0,4,0,25,0,13,0,11,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedTicketDTO,81,0,6,0,29,0,12,0,9,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,BookingDTO,253,0,28,0,85,0,31,0,17,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedPerformanceDTO,45,33,5,1,16,13,5,6,2,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,PerformanceDTO,4,75,2,4,2,24,3,10,1,9
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedTicketPriceDTO,45,33,5,1,16,13,5,6,2,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,TicketDTO,95,0,8,0,31,0,15,0,11,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,TicketPriceDTO,73,56,9,1,24,16,12,7,7,7
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedMediaItemDTO,26,60,2,4,10,22,4,8,2,7
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,EventDTO,4,108,3,5,2,33,4,13,1,12
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,EventCategoryDTO,4,43,1,3,2,16,2,7,1,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedVenueDTO,49,77,4,4,17,25,7,10,4,9
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,ShowDTO,182,284,30,26,59,90,24,20,3,13
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedEventCategoryDTO,18,53,2,4,7,20,3,7,1,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedSectionDTO,73,54,5,1,26,19,9,9,6,9
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,NestedTicketCategoryDTO,52,19,5,1,20,7,7,3,4,3
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,TicketCategoryDTO,4,43,2,2,2,16,3,6,1,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,AddressDTO,4,57,2,2,1,22,2,9,0,9
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.rest.dto,SeatDTO,70,0,6,0,24,0,12,0,9,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,PerformanceId,87,0,16,0,16,0,14,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,VenueId,87,0,16,0,16,0,14,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,SyntheticBooking,33,0,0,0,11,0,3,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,TicketPriceGuide,159,0,30,0,33,0,29,0,14,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,Seat,44,0,0,0,11,0,6,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,Ticket,47,0,0,0,12,0,7,0,7,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,Show,122,0,22,0,28,0,23,0,12,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,Section,127,0,22,0,34,0,28,0,17,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,Booking,119,0,16,0,34,0,23,0,15,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,EventId,87,0,16,0,16,0,14,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,IdGenerator,17,0,0,0,7,0,5,0,5,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,TicketCategory,74,0,14,0,26,0,15,0,8,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,SectionAllocation,395,0,52,0,74,0,40,0,14,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,SeatAllocationException,16,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,BookingStatus.Status,34,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,SectionComparator,13,0,0,0,3,0,3,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,TicketRequest,17,0,0,0,8,0,5,0,5,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,BookingRequested,57,0,0,0,19,0,11,0,11,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,BookingStatus,26,0,0,0,12,0,6,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,AllocatedSeats,21,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,SeatAllocationService,89,0,4,0,23,0,6,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,RestServiceException,3,0,0,0,2,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,BookingServiceController,356,0,22,0,76,0,16,0,5,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,Reflections,13,0,2,0,3,0,2,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,Base64,1549,0,206,0,236,0,114,0,11,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,Resources,6,3,0,0,1,1,1,1,1,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,CircularBuffer,111,0,8,0,21,0,7,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,ForwardingMap,71,0,0,0,18,0,16,0,16,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,FF4jFactory,2,11,0,0,1,3,1,3,1,3
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Ticket_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,MediaItem_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,TicketPrice_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Event,39,45,13,1,10,16,9,12,2,12
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Ticket,60,3,0,0,18,2,10,1,10,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,SectionAllocation,389,6,52,0,71,3,39,1,13,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,TicketCategory,41,33,13,1,15,11,9,6,2,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,MediaType,6,27,0,0,2,6,2,2,2,2
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,TicketPrice,87,72,27,3,22,11,21,8,6,8
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,MediaItem,80,12,14,0,22,4,12,4,5,4
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Venue_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,TicketCategory_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,EventCategory,46,13,14,0,10,5,10,4,3,4
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Seat_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Show_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Address,85,58,27,3,13,14,17,8,2,8
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Address_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Section,26,101,11,11,6,28,10,18,1,16
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Booking_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,EventCategory_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,SeatAllocationException,16,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Booking,102,13,16,0,30,3,22,1,14,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Event_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Section_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Performance_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Seat,56,0,0,0,17,0,9,0,9,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Venue,59,79,20,2,14,24,14,15,3,15
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Show,63,71,20,2,16,16,15,10,4,10
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,SectionAllocation_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Performance,26,85,11,11,6,18,10,11,1,9
